19910101
-0.720,-6.923
0.503,-17.895
0.552,-1.743
0.312,-3.654
-3.986,-14.497
-1.834,-10.560
0.266,-8.082
0.221,-12.582
0.044,-6.125
0.421,-3.869
0.876,0.000
0.192,-3.055
-3.457,-6.056
-1.370,-7.945
0.017,-7.837
-4.032,-13.514
-1.872,-14.300
-0.001,-16.397
0.180,-17.990
-1.278,-21.255
-2.646,-23.042
-2.354,-18.434
-0.658,-22.603
-2.374,-23.440
0.790,-18.181
0.351,-13.921
-1.551,-17.872
-1.986,-20.016
-1.152,-19.788
-2.392,-16.600
-2.658,-14.449
-2.578,-13.359
-2.739,-13.673
-3.214,-17.358
-7.269,-14.058
-12.405,-19.152
-12.464,-19.189
-9.030,-22.132
-3.306,-11.459
-5.355,-12.589
-2.376,-8.745
-9.598,-25.937
-9.994,-23.956
-11.328,-21.118
-9.982,-22.975
-8.830,-16.632
-5.075,-11.161
-2.114,-26.659
0.253,-15.154
0.250,-16.597
0.560,-10.752
0.890,-7.581
-1.137,-16.032
1.383,-14.189
3.513,-10.101
4.087,-8.582
2.137,-11.072
2.631,-8.563
1.152,-4.275
0.363,-4.653
0.926,-4.649
1.306,-9.895
1.254,-3.477
1.883,-2.603
0.654,-1.260
1.068,0.140
2.919,0.350
3.787,-0.788
1.203,-1.174
3.677,-3.796
3.053,-0.661
4.776,-9.149
4.754,-3.456
5.007,-3.353
4.780,-2.898
5.029,-4.751
1.757,-1.256
4.061,-0.239
4.433,-1.598
4.865,-1.140
3.747,0.084
3.942,-0.045
5.439,1.510
7.424,-0.076
2.613,-2.142
1.126,-5.716
-3.894,-9.664
-5.265,-10.318
-0.229,-12.477
1.470,-11.432
3.360,-3.883
8.237,-6.362
5.490,-0.378
3.750,-0.656
2.862,-4.156
0.186,-10.357
4.367,-10.684
2.536,-5.137
3.374,-1.337
10.383,-5.951
5.210,-3.831
6.855,-2.738
4.324,-1.258
6.662,-4.053
3.575,-11.566
1.884,-4.021
0.516,-10.117
-6.303,-9.895
-4.628,-27.135
-2.223,-26.523
-4.307,-22.565
