,MSE,RMSE,NSE,R2,MAE
Train_metrics,5.385382973358375,2.3206427931412397,0.9360740929841995,0.9403398633003235,1.4257904884877575
Valid_metrics,5.342876830387636,2.311466380977157,0.9364223927259445,0.9373048543930054,1.5929778885971653
Test_metrics,8.066556078767123,2.840168318738719,0.9042029082775116,0.9104723334312439,1.690032875374572
