,MSE,RMSE,NSE,R2,MAE
Train_metrics,3.4439440538957236,1.8557866401867764,0.9589923098683357,0.9622281789779663,1.236559107489382
Valid_metrics,5.280197060173326,2.297867937931448,0.9371682554483414,0.9447872638702393,1.6453687323898565
Test_metrics,6.339774186643836,2.5178908210333177,0.9247098863124847,0.9293376207351685,1.605174777932363
